User-ID,ISBN,Book-Rating
276747,0060517794,9
276747,0671537458,9
276747,0679776818,8
276804,0440498058,8
276808,0395547032,10
276811,0440414121,10
276896,0440241537,10
276928,059030271X,5
276928,0671021354,10
276928,0671026283,10
276928,0671027506,10
276964,0312169817,6
276964,0345348672,10
276964,0345354621,10
276964,0345435036,10
276964,0425104273,9
276964,0440218667,5
276964,0440220602,9
276964,0515131520,6
276964,0684867621,8
276964,0812550153,5
276964,0812550307,10
276964,0843949163,8
276964,0886773741,7
276964,0886774802,8
276964,0886774829,8
276964,0886775426,9
276964,0886775957,10
276964,0886777178,7
276986,0060930187,10
276986,0375760911,10
276986,0689817851,10
276986,0874869870,10
276998,0618045996,8
276998,3822858617,7
277012,0553581112,9
277012,0805047379,5
277018,0373250223,7
277065,0816704627,4
277094,0064404773,10
277107,006054094X,8
277107,081297106X,10
277107,0843951826,5
277134,1586609726,6
277143,031286504X,10
277143,0345342968,9
277143,0767903382,8
277157,0312979517,5
277157,0316154059,5
277157,0345450175,6
277157,0345452550,7
277157,0399135804,7
277157,0399146504,7
277157,0399146687,7
277157,0399147101,7
277157,0399147624,5
277157,0399148337,6
277157,0399148639,6
277157,0399148728,8
277157,0399150811,5
277157,0399151451,7
277157,0425183181,5
277157,0671024094,7
277157,0679450408,6
277157,0684801663,6
277157,0684846608,5
277157,074320607X,7
277157,0743407377,6
277157,0743486226,7
277157,0804109990,6
277157,0812571118,5
277168,0671032658,4
277168,0812568710,5
277171,0449213730,8
277171,0449224449,8
277171,0451173139,7
277171,0486282406,10
277171,0553580930,9
277171,0804102511,9
277171,080410946X,8
277179,0440414806,10
277179,0679767800,7
277187,0679745203,9
277189,074341232X,8
277195,0060391626,10
277195,0330332775,10
277195,055326611X,10
277195,0553347756,10
277195,0553379615,10
277195,0670869902,10
277195,0671021001,10
277195,0671647458,10
277195,1573221856,10
277203,030700645X,8
277203,0307127923,8
277203,0307302016,8
277203,0307302636,8
277203,0307987655,8
277203,039480001X,9
277203,0394800028,9
277203,0394800184,9
277203,039480029X,8
277203,039480967X,8
277203,0394925696,8
277203,0590442791,9
277203,0590442899,9
277203,059046602X,8
277203,0590466577,7
277203,0590629719,10
277203,0717283208,8
277203,0717284832,8
277203,0717284972,8
277203,0717287017,8
277203,1562826468,9
277203,2764104936,9
277228,0061044636,6
277235,014029628X,6
277235,0375703861,10
277237,038550926X,7
277314,0446360716,6
277315,0060173289,8
277315,0060976845,5
277341,084230052X,9
277363,0060393823,1
277363,0156027321,8
277397,0399140751,8
277427,002542730X,10
277427,0060542128,7
277427,0061009059,9
277427,0141439742,8
277427,0152050167,10
277427,0201000822,10
277427,0312944691,8
277427,0316776963,8
277427,0345413903,10
277427,0375751513,9
277427,0380702843,8
277427,0380791978,9
277427,038081904X,9
277427,0385424736,9
277427,0385486804,9
